ins,min
MaxSATQueriesinInterpretableClassifiers-credit_train_8_CNF_5_20,95905.0
MaxSATQueriesinInterpretableClassifiers-pima_train_6_CNF_3_20,2797.0
MaxSATQueriesinInterpretableClassifiers-toms_test_2_CNF_3_20,174.0
MinimumWeightDominatingSetProblem-bn-human-BNU_1_0025865_session_1-bg,119422383.0
MinimumWeightDominatingSetProblem-channel-500x100x100-b050,33336431.0
MinimumWeightDominatingSetProblem-delaunay_n24,276337805.0
MinimumWeightDominatingSetProblem-hugebubbles-00020,588404049.0
MinimumWeightDominatingSetProblem-inf-road-usa,759599193.0
MinimumWeightDominatingSetProblem-rgg_n_2_24_s0,54514898.0
MinimumWeightDominatingSetProblem-sc-rel9,11263423.0
MinimumWeightDominatingSetProblem-soc-livejournal-user-groups,
MinimumWeightDominatingSetProblem-web-wikipedia2009,27180862.0
ParametricRBACMaintenance_mse20-role_domino_multiple_0.1_8,37294.0
ParametricRBACMaintenance_mse20-role_domino_multiple_0.2_0,66792.0
ParametricRBACMaintenance_mse20-role_domino_multiple_0.5_1,141204.0
ParametricRBACMaintenance_mse20-role_domino_multiple_0.6_8,157012.0
ParametricRBACMaintenance_mse20-role_smallcomp_multiple_0.7_2,277373.0
ParametricRBACMaintenance_mse20-role_smallcomp_multiple_0.7_6,252060.0
ParametricRBACMaintenance_mse20-role_smallcomp_multiple_0.8_1,349962.0
ParametricRBACMaintenance_mse20-role_smallcomp_multiple_0.9_6,281854.0
ParametricRBACMaintenance_mse20-role_university_multiple_0.1_1,59584.0
ParametricRBACMaintenance_mse20-role_university_multiple_0.4_7,176678.0
ParametricRBACMaintenance_mse20-role_university_multiple_0.5_4,204181.0
ParametricRBACMaintenance_mse20-role_university_multiple_0.5_5,182646.0
ParametricRBACMaintenance_mse20-role_university_multiple_0.5_7,178408.0
abstraction-refinement-downcast-antlr,76273.0
abstraction-refinement-downcast-avrora,46657.0
abstraction-refinement-downcast-hsqldb,30231.0
abstraction-refinement-downcast-pmd,4248.0
abstraction-refinement-downcast-xalan,65509.0
abstraction-refinement-polysite-avrora,51835.0
abstraction-refinement-polysite-bloat,56.0
abstraction-refinement-polysite-hsqldb,172424.0
abstraction-refinement-polysite-pmd,188442.0
abstraction-refinement-polysite-xalan,114705.0
causal-discovery-causal_Link_10_1000,33562494.0
causal-discovery-causal_Link_10_10000,45443263.0
causal-discovery-causal_Link_9_100,3242187.0
causal-discovery-causal_Mushroom_7_1000,216061.0
causal-discovery-causal_Pigs_6_1000,35110976.0
causal-discovery-causal_Water_10_1000,45193159.0
causal-discovery-causal_alarm_9_1000,13804978.0
causal-discovery-causal_carpo_8_1000,947128.0
correlation-clustering-Rounded_CorrelationClustering_Ionosphere_BINARY_N260_D0.200,6632526.0
correlation-clustering-Rounded_CorrelationClustering_Protein1_UNARY_N290,68954693.0
correlation-clustering-Rounded_CorrelationClustering_Protein2_BINARY_N220,13730542.0
correlation-clustering-Rounded_CorrelationClustering_Protein2_BINARY_N240,16163358.0
correlation-clustering-Rounded_CorrelationClustering_Protein2_BINARY_N380,37750013.0
correlation-clustering-Rounded_CorrelationClustering_Protein2_UNARY_N220,62694399.0
correlation-clustering-Rounded_CorrelationClustering_Protein3_TRANSITIVE_N280,19851944.0
correlation-clustering-Rounded_CorrelationClustering_Protein3_UNARY_N220,49001251.0
correlation-clustering-Rounded_CorrelationClustering_Protein4_BINARY_N320,14011167.0
correlation-clustering-Rounded_CorrelationClustering_Protein4_UNARY_N250,16474933.0
correlation-clustering-Rounded_CorrelationClustering_Vowel_BINARY_N700_D0.200,82510220.0
correlation-clustering-Rounded_CorrelationClustering_Vowel_BINARY_N800_D0.200,96137174.0
decision-tree-anneal-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_3,346.0
