ins,min
MaxSATQueriesinInterpretableClassifiers-credit_train_8_CNF_5_20,95725.0
MaxSATQueriesinInterpretableClassifiers-pima_train_6_CNF_3_20,2757.0
MaxSATQueriesinInterpretableClassifiers-toms_test_2_CNF_3_20,162.0
MinimumWeightDominatingSetProblem-bn-human-BNU_1_0025865_session_1-bg,119337796.0
MinimumWeightDominatingSetProblem-channel-500x100x100-b050,27230385.0
MinimumWeightDominatingSetProblem-delaunay_n24,233052131.0
MinimumWeightDominatingSetProblem-hugebubbles-00020,588364637.0
MinimumWeightDominatingSetProblem-inf-road-usa,650854601.0
MinimumWeightDominatingSetProblem-rgg_n_2_24_s0,54502641.0
MinimumWeightDominatingSetProblem-sc-rel9,12153630.0
MinimumWeightDominatingSetProblem-soc-livejournal-user-groups,
MinimumWeightDominatingSetProblem-web-wikipedia2009,26853830.0
ParametricRBACMaintenance_mse20-role_domino_multiple_0.1_8,38746.0
ParametricRBACMaintenance_mse20-role_domino_multiple_0.2_0,68322.0
ParametricRBACMaintenance_mse20-role_domino_multiple_0.5_1,166237.0
ParametricRBACMaintenance_mse20-role_domino_multiple_0.6_8,186867.0
ParametricRBACMaintenance_mse20-role_smallcomp_multiple_0.7_2,277373.0
ParametricRBACMaintenance_mse20-role_smallcomp_multiple_0.7_6,252060.0
ParametricRBACMaintenance_mse20-role_smallcomp_multiple_0.8_1,350239.0
ParametricRBACMaintenance_mse20-role_smallcomp_multiple_0.9_6,281490.0
ParametricRBACMaintenance_mse20-role_university_multiple_0.1_1,58378.0
ParametricRBACMaintenance_mse20-role_university_multiple_0.4_7,196562.0
ParametricRBACMaintenance_mse20-role_university_multiple_0.5_4,217890.0
ParametricRBACMaintenance_mse20-role_university_multiple_0.5_5,209044.0
ParametricRBACMaintenance_mse20-role_university_multiple_0.5_7,226433.0
abstraction-refinement-downcast-antlr,76302.0
abstraction-refinement-downcast-avrora,46700.0
abstraction-refinement-downcast-hsqldb,30280.0
abstraction-refinement-downcast-pmd,4275.0
abstraction-refinement-downcast-xalan,65533.0
abstraction-refinement-polysite-avrora,51879.0
abstraction-refinement-polysite-bloat,82.0
abstraction-refinement-polysite-hsqldb,172588.0
abstraction-refinement-polysite-pmd,196926.0
abstraction-refinement-polysite-xalan,114807.0
causal-discovery-causal_Link_10_1000,112792646.0
causal-discovery-causal_Link_10_10000,184376158.0
causal-discovery-causal_Link_9_100,1516100.0
causal-discovery-causal_Mushroom_7_1000,202255.0
causal-discovery-causal_Pigs_6_1000,19219698.0
causal-discovery-causal_Water_10_1000,16041455.0
causal-discovery-causal_alarm_9_1000,8944224.0
causal-discovery-causal_carpo_8_1000,947128.0
correlation-clustering-Rounded_CorrelationClustering_Ionosphere_BINARY_N260_D0.200,6667032.0
correlation-clustering-Rounded_CorrelationClustering_Protein1_UNARY_N290,19892659.0
correlation-clustering-Rounded_CorrelationClustering_Protein2_BINARY_N220,13727551.0
correlation-clustering-Rounded_CorrelationClustering_Protein2_BINARY_N240,16043232.0
correlation-clustering-Rounded_CorrelationClustering_Protein2_BINARY_N380,37097255.0
correlation-clustering-Rounded_CorrelationClustering_Protein2_UNARY_N220,13974029.0
correlation-clustering-Rounded_CorrelationClustering_Protein3_TRANSITIVE_N280,19654524.0
correlation-clustering-Rounded_CorrelationClustering_Protein3_UNARY_N220,14542078.0
correlation-clustering-Rounded_CorrelationClustering_Protein4_BINARY_N320,13189270.0
correlation-clustering-Rounded_CorrelationClustering_Protein4_UNARY_N250,9297453.0
correlation-clustering-Rounded_CorrelationClustering_Vowel_BINARY_N700_D0.200,71067175.0
correlation-clustering-Rounded_CorrelationClustering_Vowel_BINARY_N800_D0.200,82745005.0
decision-tree-anneal-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_3,353.0
decision-tree-anneal-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5,713.0
decision-tree-australian-credit-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5,517.0
decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_2,69.0
decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_4,127.0
decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4,136.0
decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_6,240.0
decision-tree-primary-tumor-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_2,115.0
decision-tree-primary-tumor-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_4,199.0
decision-tree-primary-tumor-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2,84.0
decision-tree-primary-tumor-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4,155.0
decision-tree-primary-tumor-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_6,338.0
decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2,335.0
decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_3,424.0
decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_2,276.0
drmx-cryptogen-geffe128_7,800.0
generalized-ising-IS11_5.0.5.0.0.5_softer_periodic,111911777649462.0
generalized-ising-IS12_5.0.5.0.0.5_softer_periodic,113011777649462.0
generalized-ising-IS13_5.0.5.0.0.5_softer_periodic,119401387482250.0
generalized-ising-IS15_5.0.5.0.0.5_softer_periodic,114658059944605.0
generalized-ising-IS16_5.0.5.0.0.5_softer_periodic,115258059944605.0
generalized-ising-IS17_5.0.5.0.0.5_softer_periodic,115889374987694.0
generalized-ising-IS20_5.0.5.0.0.5_softer_periodic,119388436533622.0
generalized-ising-IS22_5.0.5.0.0.5_softer_periodic,118821209148950.0
generalized-ising-IS23_5.0.5.0.0.5_softer_periodic,118321209148950.0
generalized-ising-IS3_5.0.5.0.0.5_softer_periodic,116801767247989.0
generalized-ising-IS4_5.0.5.0.0.5_softer_periodic,115857504490145.0
generalized-ising-IS5_5.0.5.0.0.5_softer_periodic,114843630201205.0
generalized-ising-IS6_5.0.5.0.0.5_softer_periodic,113797656078081.0
generalized-ising-IS7_5.0.5.0.0.5_softer_periodic,112706601923009.0
generalized-ising-IS9_5.0.5.0.0.5_softer_periodic,110066981524169.0
hs-timetabling-BrazilInstance1.xml,70.0
hs-timetabling-BrazilInstance2.xml,112.0
hs-timetabling-BrazilInstance4.xml,
hs-timetabling-BrazilInstance5.xml,446.0
hs-timetabling-BrazilInstance6.xml,556.0
hs-timetabling-BrazilInstance7.xml,848.0
hs-timetabling-FinlandSecondarySchool.xml,
