ins,min
MaxSATQueriesinInterpretableClassifiers-twitter_train_2_CNF_4_1,1675.0
MaxSATQueriesinInterpretableClassifiers-twitter_train_9_CNF_1_1,1841.0
MaxSATQueriesinInterpretableClassifiers-wdbc_train_9_CNF_5_1,21.0
SeanSafarpour-rsdecoder1_blackbox_KESblock-problem.dimacs_30.filtered,22.0
aes-mul_8_11,64.0
aes-mul_8_13,60.0
aes-mul_8_14,56.0
aes-mul_8_3,36.0
aes-mul_8_9,42.0
aes-sbox_8,436.0
atcoss-atcoss_mesat_02,
atcoss-atcoss_mesat_15,
atcoss-atcoss_sugar_05,
atcoss-atcoss_sugar_15,
bcp-SU3__simp-genos.haps.9,106.0
decision-tree-anneal-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree,110.0
decision-tree-australian-credit-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree,71.0
decision-tree-breast-cancer-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree,30.0
decision-tree-breast-cancer-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree,30.0
decision-tree-car-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree,151.0
decision-tree-car-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_tree,151.0
decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree,41.0
decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_tree,39.0
decision-tree-hypothyroid-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_tree,53.0
decision-tree-kr-vs-kp-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree,331.0
decision-tree-kr-vs-kp-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_tree,574.0
decision-tree-lymph-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree,18.0
decision-tree-mushroom-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree,206.0
