ins,min
MaxSATQueriesinInterpretableClassifiers-credit_train_8_CNF_5_20,95986.0
MaxSATQueriesinInterpretableClassifiers-pima_train_6_CNF_3_20,2776.0
MaxSATQueriesinInterpretableClassifiers-toms_test_2_CNF_3_20,233.0
MinimumWeightDominatingSetProblem-bn-human-BNU_1_0025865_session_1-bg,119422383.0
MinimumWeightDominatingSetProblem-channel-500x100x100-b050,33336431.0
MinimumWeightDominatingSetProblem-delaunay_n24,276337804.0
MinimumWeightDominatingSetProblem-hugebubbles-00020,588404048.0
MinimumWeightDominatingSetProblem-inf-road-usa,759599040.0
MinimumWeightDominatingSetProblem-rgg_n_2_24_s0,54514882.0
MinimumWeightDominatingSetProblem-sc-rel9,15559274.0
MinimumWeightDominatingSetProblem-soc-livejournal-user-groups,
MinimumWeightDominatingSetProblem-web-wikipedia2009,36337039.0
ParametricRBACMaintenance_mse20-role_domino_multiple_0.1_8,48750.0
ParametricRBACMaintenance_mse20-role_domino_multiple_0.2_0,75327.0
ParametricRBACMaintenance_mse20-role_domino_multiple_0.5_1,140829.0
ParametricRBACMaintenance_mse20-role_domino_multiple_0.6_8,161139.0
ParametricRBACMaintenance_mse20-role_smallcomp_multiple_0.7_2,277373.0
ParametricRBACMaintenance_mse20-role_smallcomp_multiple_0.7_6,252094.0
ParametricRBACMaintenance_mse20-role_smallcomp_multiple_0.8_1,349685.0
ParametricRBACMaintenance_mse20-role_smallcomp_multiple_0.9_6,281751.0
ParametricRBACMaintenance_mse20-role_university_multiple_0.1_1,73855.0
ParametricRBACMaintenance_mse20-role_university_multiple_0.4_7,169678.0
ParametricRBACMaintenance_mse20-role_university_multiple_0.5_4,201365.0
ParametricRBACMaintenance_mse20-role_university_multiple_0.5_5,176208.0
ParametricRBACMaintenance_mse20-role_university_multiple_0.5_7,171864.0
abstraction-refinement-downcast-antlr,76290.0
abstraction-refinement-downcast-avrora,46685.0
abstraction-refinement-downcast-hsqldb,30260.0
abstraction-refinement-downcast-pmd,4271.0
abstraction-refinement-downcast-xalan,65521.0
abstraction-refinement-polysite-avrora,51846.0
abstraction-refinement-polysite-bloat,76.0
abstraction-refinement-polysite-hsqldb,172517.0
abstraction-refinement-polysite-pmd,188469.0
abstraction-refinement-polysite-xalan,114697.0
causal-discovery-causal_Link_10_1000,154915005.0
causal-discovery-causal_Link_10_10000,257745134.0
causal-discovery-causal_Link_9_100,1516100.0
causal-discovery-causal_Mushroom_7_1000,202260.0
causal-discovery-causal_Pigs_6_1000,35110976.0
causal-discovery-causal_Water_10_1000,45193159.0
causal-discovery-causal_alarm_9_1000,1233992.0
causal-discovery-causal_carpo_8_1000,2518818.0
correlation-clustering-Rounded_CorrelationClustering_Ionosphere_BINARY_N260_D0.200,6692905.0
correlation-clustering-Rounded_CorrelationClustering_Protein1_UNARY_N290,21261877.0
correlation-clustering-Rounded_CorrelationClustering_Protein2_BINARY_N220,13744660.0
correlation-clustering-Rounded_CorrelationClustering_Protein2_BINARY_N240,16043232.0
correlation-clustering-Rounded_CorrelationClustering_Protein2_BINARY_N380,37263386.0
correlation-clustering-Rounded_CorrelationClustering_Protein2_UNARY_N220,15605959.0
correlation-clustering-Rounded_CorrelationClustering_Protein3_TRANSITIVE_N280,20113689.0
correlation-clustering-Rounded_CorrelationClustering_Protein3_UNARY_N220,17063744.0
correlation-clustering-Rounded_CorrelationClustering_Protein4_BINARY_N320,13886884.0
correlation-clustering-Rounded_CorrelationClustering_Protein4_UNARY_N250,14111886.0
correlation-clustering-Rounded_CorrelationClustering_Vowel_BINARY_N700_D0.200,69700902.0
correlation-clustering-Rounded_CorrelationClustering_Vowel_BINARY_N800_D0.200,80992843.0
decision-tree-anneal-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_3,343.0
decision-tree-anneal-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5,648.0
decision-tree-australian-credit-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5,491.0
decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_2,62.0
decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_4,108.0
decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4,119.0
decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_6,202.0
decision-tree-primary-tumor-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_2,99.0
decision-tree-primary-tumor-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_4,179.0
decision-tree-primary-tumor-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2,78.0
decision-tree-primary-tumor-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4,133.0
decision-tree-primary-tumor-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_6,287.0
decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2,280.0
decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_3,342.0
decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_2,254.0
drmx-cryptogen-geffe128_7,830.0
generalized-ising-IS11_5.0.5.0.0.5_softer_periodic,111911777649462.0
generalized-ising-IS12_5.0.5.0.0.5_softer_periodic,113011777649462.0
generalized-ising-IS13_5.0.5.0.0.5_softer_periodic,119401387482250.0
generalized-ising-IS15_5.0.5.0.0.5_softer_periodic,114658059944605.0
generalized-ising-IS16_5.0.5.0.0.5_softer_periodic,115258059944605.0
generalized-ising-IS17_5.0.5.0.0.5_softer_periodic,115904240715413.0
generalized-ising-IS20_5.0.5.0.0.5_softer_periodic,119401387482250.0
generalized-ising-IS22_5.0.5.0.0.5_softer_periodic,119274626548302.0
generalized-ising-IS23_5.0.5.0.0.5_softer_periodic,118831941685676.0
generalized-ising-IS3_5.0.5.0.0.5_softer_periodic,116861483901862.0
generalized-ising-IS4_5.0.5.0.0.5_softer_periodic,115919212424055.0
generalized-ising-IS5_5.0.5.0.0.5_softer_periodic,114843630201231.0
generalized-ising-IS6_5.0.5.0.0.5_softer_periodic,113797656078081.0
generalized-ising-IS7_5.0.5.0.0.5_softer_periodic,112711653113730.0
generalized-ising-IS9_5.0.5.0.0.5_softer_periodic,110066981524169.0
hs-timetabling-BrazilInstance1.xml,103.0
hs-timetabling-BrazilInstance2.xml,254.0
hs-timetabling-BrazilInstance4.xml,
hs-timetabling-BrazilInstance5.xml,684.0
hs-timetabling-BrazilInstance6.xml,664.0
hs-timetabling-BrazilInstance7.xml,
hs-timetabling-FinlandSecondarySchool.xml,
hs-timetabling-ItalyInstance4.xml,15049.0
judgment-aggregation-ja-kemeny-preflib-00049-00000300,791.0
judgment-aggregation-ja-kemeny-preflib-00049-00000334,553.0
judgment-aggregation-ja-kemeny-preflib-00049-00000451,957.0
judgment-aggregation-ja-kemeny-preflib-00049-00000454,644.0
judgment-aggregation-ja-kemeny-preflib-00051-00000011,712.0
max-realizability-power-distribution_11_7,126.0
max-realizability-power-distribution_12_8,216.0
max-realizability-robot-navigation_10,
metro-metro_8_8_5_20_10_6_500_1_3.lp.sm-extracted,139.0
mpe-random-net-50-5_network-8.net,47299.0
pseudoBoolean-normalized-mps-v2-20-10-sentoy.opb.msat,
railway-transport-bf2030fvslack,
railway-transport-f2030,4590.0
railway-transport-r11,
railway-transport-wg2,146.0
ramsey-ram_k3_n14.ra1,3025.0
ramsey-ram_k3_n16.ra1,7271.0
ramsey-ram_k3_n19.ra1,20717.0
ramsey-ram_k4_n19.ra1,1338.0
relational-inference-pa-1,1588.0
relational-inference-pa-2,603.0
relational-inference-pa-3,779.0
setcover-rail2536,
setcover-rail4284,
setcover-rail4872,
setcover-rail507,215.0
shiftdesign-limits-10-10_data-1_inst-084_30m.sm-extracted,
shiftdesign-limits-10-10_data-1_inst-137_30m.sm-extracted,
shiftdesign-limits-10-10_data-1_inst-182_30m.sm-extracted,
shiftdesign-limits-10-10_data-2_inst-003_30m.sm-extracted,
shiftdesign-limits-10-10_data-2_inst-025_30m.sm-extracted,
shiftdesign-limits-10-10_data-2_inst-030_30m.sm-extracted,
shiftdesign-limits-10-10_data-3_inst-002_30m.sm-extracted,
shiftdesign-limits-10-10_data-3_inst-003_30m.sm-extracted,
shiftdesign-limits-10-10_data-4_inst-003_60m.sm-extracted,
spot5-1401.wcsp.log,459106.0
spot5-1403.wcsp.dir,461255.0
spot5-1403.wcsp.log,459247.0
spot5-1405.wcsp.dir,461436.0
spot5-1506.wcsp.log,354527.0
spot5-5.wcsp.log,263.0
staff-scheduling-instance10,9385.0
staff-scheduling-instance11,5930.0
staff-scheduling-instance12,12874.0
staff-scheduling-instance2,834.0
staff-scheduling-instance3,1033.0
staff-scheduling-instance4,1744.0
staff-scheduling-instance5,1484.0
staff-scheduling-instance6,2309.0
staff-scheduling-instance7,1559.0
staff-scheduling-instance8,6348.0
staff-scheduling-instance9,4988.0
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_100,
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_150,
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_200,
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_66,
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_68,
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_70,
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_72,
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_80,
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_90,
tcp-tcp_students_112_it_2,3660.0
timetabling-comp02,286.0
timetabling-comp09,205.0
timetabling-comp12,607.0
timetabling-dds4,
