alg_name,ins,ins_set,mean,median,min,fr,nr
ecdf-5,correlation-clustering-Rounded_CorrelationClustering_Protein1_UNARY_N290,MSE23-w,77135730.4,76685852.5,71521120,1.0,10
ecdf-5,railway-transport-wg2,MSE23-w,151.5,147.5,139,1.0,10
ecdf-5,correlation-clustering-Rounded_CorrelationClustering_Protein3_UNARY_N220,MSE23-w,58892445.8,57463698.0,51031125,1.0,10
ecdf-5,mpe-random-net-50-5_network-8.net,MSE23-w,46555.0,46535.0,46535,1.0,10
ecdf-5,spot5-1405.wcsp.dir,MSE23-w,459752.1,459454.5,459445,1.0,10
ecdf-5,staff-scheduling-instance8,MSE23-w,3784.4,3802.5,3464,1.0,10
ecdf-5,setcover-rail4284,MSE23-w,,,,0.0,10
ecdf-5,correlation-clustering-Rounded_CorrelationClustering_Vowel_BINARY_N800_D0.200,MSE23-w,99104231.2,98833218.5,96137174,1.0,10
ecdf-5,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_68,MSE23-w,,,,0.0,10
ecdf-5,correlation-clustering-Rounded_CorrelationClustering_Protein4_BINARY_N320,MSE23-w,14450047.2,14498312.5,14181528,1.0,10
ecdf-5,staff-scheduling-instance2,MSE23-w,831.9,832.0,829,1.0,10
ecdf-5,decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4,MSE23-w,127.9,129.0,122,1.0,10
ecdf-5,causal-discovery-causal_Water_10_1000,MSE23-w,45193159.0,45193159.0,45193159,1.0,10
ecdf-5,ParametricRBACMaintenance_mse20-role_university_multiple_0.5_4,MSE23-w,207593.5,207798.0,204756,1.0,10
ecdf-5,MinimumWeightDominatingSetProblem-delaunay_n24,MSE23-w,276410797.8,276408436.5,276337805,1.0,10
ecdf-5,staff-scheduling-instance9,MSE23-w,2187.4,2216.0,2016,1.0,10
ecdf-5,hs-timetabling-BrazilInstance7.xml,MSE23-w,1031.0,1031.0,1031,0.1,10
ecdf-5,MaxSATQueriesinInterpretableClassifiers-credit_train_8_CNF_5_20,MSE23-w,97896.1,96761.0,95905,1.0,10
ecdf-5,MinimumWeightDominatingSetProblem-soc-livejournal-user-groups,MSE23-w,,,,,0
ecdf-5,relational-inference-pa-1,MSE23-w,2665.5,2663.5,2276,1.0,10
ecdf-5,spot5-1506.wcsp.log,MSE23-w,355832.1,355532.5,354552,1.0,10
ecdf-5,generalized-ising-IS5_5.0.5.0.0.5_softer_periodic,MSE23-w,114951756318588.6,114951484230444.0,114863257458344,1.0,10
ecdf-5,staff-scheduling-instance10,MSE23-w,6099.3,6096.0,5901,1.0,10
ecdf-5,correlation-clustering-Rounded_CorrelationClustering_Ionosphere_BINARY_N260_D0.200,MSE23-w,6643025.9,6638044.0,6632526,1.0,10
ecdf-5,generalized-ising-IS16_5.0.5.0.0.5_softer_periodic,MSE23-w,115541066404123.1,115539998927143.5,115522026143098,1.0,10
ecdf-5,max-realizability-robot-navigation_10,MSE23-w,,,,0.0,10
ecdf-5,abstraction-refinement-polysite-xalan,MSE23-w,114712.1,114710.0,114705,1.0,10
ecdf-5,hs-timetabling-BrazilInstance2.xml,MSE23-w,268.0,271.5,241,1.0,10
ecdf-5,ramsey-ram_k4_n19.ra1,MSE23-w,960.0,965.5,707,1.0,10
ecdf-5,railway-transport-f2030,MSE23-w,4562.9,4558.5,4436,1.0,10
ecdf-5,ParametricRBACMaintenance_mse20-role_domino_multiple_0.6_8,MSE23-w,157544.0,157190.5,157047,1.0,10
ecdf-5,generalized-ising-IS20_5.0.5.0.0.5_softer_periodic,MSE23-w,120172969148733.4,120152805589756.0,119897560256891,1.0,10
ecdf-5,abstraction-refinement-downcast-hsqldb,MSE23-w,30244.2,30243.0,30236,1.0,10
ecdf-5,ParametricRBACMaintenance_mse20-role_smallcomp_multiple_0.7_2,MSE23-w,277373.0,277373.0,277373,1.0,10
ecdf-5,metro-metro_8_8_5_20_10_6_500_1_3.lp.sm-extracted,MSE23-w,207.3,208.5,169,1.0,10
