alg_name,ins,ins_set,mean,median,min,fr,nr
ecdf-5,correlation-clustering-Rounded_CorrelationClustering_Protein1_UNARY_N290,MSE23-w,39219890.8,29260247.5,21261877,1.0,10
ecdf-5,railway-transport-wg2,MSE23-w,178.9,173.0,166,1.0,10
ecdf-5,correlation-clustering-Rounded_CorrelationClustering_Protein3_UNARY_N220,MSE23-w,21100912.6,21429460.5,18722193,1.0,10
ecdf-5,mpe-random-net-50-5_network-8.net,MSE23-w,49903.9,49775.0,49371,1.0,10
ecdf-5,spot5-1405.wcsp.dir,MSE23-w,463441.6,463440.0,461444,1.0,10
ecdf-5,staff-scheduling-instance8,MSE23-w,7219.6,7263.5,6836,1.0,10
ecdf-5,setcover-rail4284,MSE23-w,,,,0.0,10
ecdf-5,correlation-clustering-Rounded_CorrelationClustering_Vowel_BINARY_N800_D0.200,MSE23-w,81697187.5,81773274.5,81149490,1.0,10
ecdf-5,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_68,MSE23-w,,,,0.0,10
ecdf-5,correlation-clustering-Rounded_CorrelationClustering_Protein4_BINARY_N320,MSE23-w,14787477.4,14838184.5,14537585,1.0,10
ecdf-5,staff-scheduling-instance2,MSE23-w,835.9,836.0,834,1.0,10
ecdf-5,decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4,MSE23-w,127.0,127.5,122,1.0,10
ecdf-5,causal-discovery-causal_Water_10_1000,MSE23-w,45193159.0,45193159.0,45193159,1.0,10
ecdf-5,ParametricRBACMaintenance_mse20-role_university_multiple_0.5_4,MSE23-w,201517.3,201537.5,201365,1.0,10
ecdf-5,MinimumWeightDominatingSetProblem-delaunay_n24,MSE23-w,276410793.8,276408436.5,276337804,1.0,10
ecdf-5,staff-scheduling-instance9,MSE23-w,5319.8,5305.0,5130,1.0,10
ecdf-5,hs-timetabling-BrazilInstance7.xml,MSE23-w,,,,0.0,10
ecdf-5,MaxSATQueriesinInterpretableClassifiers-credit_train_8_CNF_5_20,MSE23-w,96312.1,96321.5,96048,1.0,10
ecdf-5,MinimumWeightDominatingSetProblem-soc-livejournal-user-groups,MSE23-w,,,,,0
ecdf-5,relational-inference-pa-1,MSE23-w,1745.0,1723.5,1588,1.0,10
ecdf-5,spot5-1506.wcsp.log,MSE23-w,354936.2,354539.0,354535,1.0,10
ecdf-5,generalized-ising-IS5_5.0.5.0.0.5_softer_periodic,MSE23-w,115110395711866.1,115112738647545.0,114902252111403,1.0,10
ecdf-5,staff-scheduling-instance10,MSE23-w,9972.5,9986.5,9385,1.0,10
ecdf-5,correlation-clustering-Rounded_CorrelationClustering_Ionosphere_BINARY_N260_D0.200,MSE23-w,6946014.3,6953378.0,6852029,1.0,10
ecdf-5,generalized-ising-IS16_5.0.5.0.0.5_softer_periodic,MSE23-w,115462948169673.2,115472502325039.5,115387787265455,1.0,10
ecdf-5,max-realizability-robot-navigation_10,MSE23-w,,,,0.0,10
ecdf-5,abstraction-refinement-polysite-xalan,MSE23-w,114731.1,114732.0,114697,1.0,10
ecdf-5,hs-timetabling-BrazilInstance2.xml,MSE23-w,282.0,283.0,274,1.0,10
ecdf-5,ramsey-ram_k4_n19.ra1,MSE23-w,1865.7,1873.0,1673,1.0,10
ecdf-5,railway-transport-f2030,MSE23-w,4873.7,4871.0,4760,1.0,10
ecdf-5,ParametricRBACMaintenance_mse20-role_domino_multiple_0.6_8,MSE23-w,161855.6,161837.5,161332,1.0,10
ecdf-5,generalized-ising-IS20_5.0.5.0.0.5_softer_periodic,MSE23-w,119522334645867.5,119492049117198.0,119401387482250,1.0,10
ecdf-5,abstraction-refinement-downcast-hsqldb,MSE23-w,30346.2,30353.5,30300,1.0,10
ecdf-5,ParametricRBACMaintenance_mse20-role_smallcomp_multiple_0.7_2,MSE23-w,277423.4,277436.0,277373,1.0,10
ecdf-5,metro-metro_8_8_5_20_10_6_500_1_3.lp.sm-extracted,MSE23-w,173.1,173.5,139,1.0,10
ecdf-5,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_90,MSE23-w,,,,0.0,10
ecdf-5,setcover-rail4872,MSE23-w,,,,0.0,10
ecdf-5,abstraction-refinement-downcast-avrora,MSE23-w,46702.3,46705.0,46689,1.0,10
ecdf-5,generalized-ising-IS12_5.0.5.0.0.5_softer_periodic,MSE23-w,113172181905421.5,113128052149147.5,113011777649462,1.0,10
ecdf-5,relational-inference-pa-2,MSE23-w,776.2,759.0,726,1.0,10
ecdf-5,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_70,MSE23-w,,,,0.0,10
ecdf-5,decision-tree-primary-tumor-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_6,MSE23-w,296.3,298.5,290,1.0,10
ecdf-5,pseudoBoolean-normalized-mps-v2-20-10-sentoy.opb.msat,MSE23-w,,,,0.0,10
ecdf-5,MinimumWeightDominatingSetProblem-bn-human-BNU_1_0025865_session_1-bg,MSE23-w,119426651.8,119426821.0,119422383,1.0,10
ecdf-5,MinimumWeightDominatingSetProblem-sc-rel9,MSE23-w,15667168.9,15661600.0,15636262,1.0,10
ecdf-5,MinimumWeightDominatingSetProblem-channel-500x100x100-b050,MSE23-w,33356154.9,33348199.0,33336431,1.0,10
ecdf-5,shiftdesign-limits-10-10_data-3_inst-003_30m.sm-extracted,MSE23-w,,,,0.0,10
ecdf-5,ParametricRBACMaintenance_mse20-role_university_multiple_0.5_5,MSE23-w,181257.0,181771.0,176208,1.0,10
