alg_name,ins,ins_set,score
ecdf-5,correlation-clustering-Rounded_CorrelationClustering_Protein1_UNARY_N290,MSE23-w,0.6621911274031816
ecdf-5,railway-transport-wg2,MSE23-w,0.8225743993739162
ecdf-5,correlation-clustering-Rounded_CorrelationClustering_Protein3_UNARY_N220,MSE23-w,0.8125020227649141
ecdf-5,mpe-random-net-50-5_network-8.net,MSE23-w,0.9478892058977326
ecdf-5,spot5-1405.wcsp.dir,MSE23-w,0.9956760891794753
ecdf-5,staff-scheduling-instance8,MSE23-w,0.8805518507774792
ecdf-5,setcover-rail4284,MSE23-w,0.0
ecdf-5,correlation-clustering-Rounded_CorrelationClustering_Vowel_BINARY_N800_D0.200,MSE23-w,0.9913913681449046
ecdf-5,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_68,MSE23-w,0.0
ecdf-5,correlation-clustering-Rounded_CorrelationClustering_Protein4_BINARY_N320,MSE23-w,0.9391873063640708
ecdf-5,staff-scheduling-instance2,MSE23-w,0.9977315539484699
ecdf-5,decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4,MSE23-w,0.937745131089874
ecdf-5,causal-discovery-causal_Water_10_1000,MSE23-w,1.0
ecdf-5,ParametricRBACMaintenance_mse20-role_university_multiple_0.5_4,MSE23-w,0.9992444341460821
ecdf-5,MinimumWeightDominatingSetProblem-delaunay_n24,MSE23-w,0.9997359642530762
ecdf-5,staff-scheduling-instance9,MSE23-w,0.9382640074824925
ecdf-5,hs-timetabling-BrazilInstance7.xml,MSE23-w,0.0
ecdf-5,MaxSATQueriesinInterpretableClassifiers-credit_train_8_CNF_5_20,MSE23-w,0.9966160527563754
ecdf-5,MinimumWeightDominatingSetProblem-soc-livejournal-user-groups,MSE23-w,0.0
ecdf-5,relational-inference-pa-1,MSE23-w,0.9129661897376051
ecdf-5,spot5-1506.wcsp.log,MSE23-w,0.99884901263479
ecdf-5,generalized-ising-IS5_5.0.5.0.0.5_softer_periodic,MSE23-w,0.9976836691057345
ecdf-5,staff-scheduling-instance10,MSE23-w,0.9416571458587611
ecdf-5,correlation-clustering-Rounded_CorrelationClustering_Ionosphere_BINARY_N260_D0.200,MSE23-w,0.9636238339740932
ecdf-5,generalized-ising-IS16_5.0.5.0.0.5_softer_periodic,MSE23-w,0.998225561013222
ecdf-5,max-realizability-robot-navigation_10,MSE23-w,0.0
ecdf-5,abstraction-refinement-polysite-xalan,MSE23-w,0.9997028035084217
ecdf-5,hs-timetabling-BrazilInstance2.xml,MSE23-w,0.9013037127155382
ecdf-5,ramsey-ram_k4_n19.ra1,MSE23-w,0.721069263664808
ecdf-5,railway-transport-f2030,MSE23-w,0.9421941016620734
ecdf-5,ParametricRBACMaintenance_mse20-role_domino_multiple_0.6_8,MSE23-w,0.9955751388895324
ecdf-5,generalized-ising-IS20_5.0.5.0.0.5_softer_periodic,MSE23-w,0.9989888357042427
ecdf-5,abstraction-refinement-downcast-hsqldb,MSE23-w,0.997160562013779
ecdf-5,ParametricRBACMaintenance_mse20-role_smallcomp_multiple_0.7_2,MSE23-w,0.9998183474465934
ecdf-5,metro-metro_8_8_5_20_10_6_500_1_3.lp.sm-extracted,MSE23-w,0.8145675418175248
ecdf-5,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_90,MSE23-w,0.0
ecdf-5,setcover-rail4872,MSE23-w,0.0
ecdf-5,abstraction-refinement-downcast-avrora,MSE23-w,0.9996296000596846
ecdf-5,generalized-ising-IS12_5.0.5.0.0.5_softer_periodic,MSE23-w,0.998583909131975
ecdf-5,relational-inference-pa-2,MSE23-w,0.779912293740596
ecdf-5,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_70,MSE23-w,0.0
ecdf-5,decision-tree-primary-tumor-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_6,MSE23-w,0.9688560301777753
ecdf-5,pseudoBoolean-normalized-mps-v2-20-10-sentoy.opb.msat,MSE23-w,0.0
ecdf-5,MinimumWeightDominatingSetProblem-bn-human-BNU_1_0025865_session_1-bg,MSE23-w,0.9999642567707514
ecdf-5,MinimumWeightDominatingSetProblem-sc-rel9,MSE23-w,0.9931150952002262
ecdf-5,MinimumWeightDominatingSetProblem-channel-500x100x100-b050,MSE23-w,0.9994089546566919
ecdf-5,shiftdesign-limits-10-10_data-3_inst-003_30m.sm-extracted,MSE23-w,0.0
ecdf-5,ParametricRBACMaintenance_mse20-role_university_multiple_0.5_5,MSE23-w,0.9722313070449479
ecdf-5,decision-tree-primary-tumor-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4,MSE23-w,0.9376513162792482
ecdf-5,spot5-5.wcsp.log,MSE23-w,0.9962349269399915
ecdf-5,abstraction-refinement-polysite-hsqldb,MSE23-w,0.9998122302605517
ecdf-5,correlation-clustering-Rounded_CorrelationClustering_Protein4_UNARY_N250,MSE23-w,0.9103309970164364
ecdf-5,timetabling-dds4,MSE23-w,0.0
ecdf-5,abstraction-refinement-downcast-pmd,MSE23-w,0.9892924269527917
ecdf-5,max-realizability-power-distribution_11_7,MSE23-w,0.99765625
ecdf-5,staff-scheduling-instance7,MSE23-w,0.6974856105664186
ecdf-5,railway-transport-r11,MSE23-w,0.0
ecdf-5,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_72,MSE23-w,0.0
ecdf-5,judgment-aggregation-ja-kemeny-preflib-00051-00000011,MSE23-w,0.9803423360111921
ecdf-5,causal-discovery-causal_Mushroom_7_1000,MSE23-w,0.949270506274418
ecdf-5,hs-timetabling-BrazilInstance6.xml,MSE23-w,0.9264099110582433
ecdf-5,ramsey-ram_k3_n16.ra1,MSE23-w,0.8969355096915216
ecdf-5,spot5-1401.wcsp.log,MSE23-w,0.9999980396864272
ecdf-5,ParametricRBACMaintenance_mse20-role_smallcomp_multiple_0.9_6,MSE23-w,0.9963030496368749
ecdf-5,ParametricRBACMaintenance_mse20-role_university_multiple_0.5_7,MSE23-w,0.982009547572847
ecdf-5,MaxSATQueriesinInterpretableClassifiers-toms_test_2_CNF_3_20,MSE23-w,0.687751567716262
ecdf-5,generalized-ising-IS4_5.0.5.0.0.5_softer_periodic,MSE23-w,0.9987404760005412
ecdf-5,causal-discovery-causal_carpo_8_1000,MSE23-w,0.7179459553596691
ecdf-5,railway-transport-bf2030fvslack,MSE23-w,0.0
ecdf-5,drmx-cryptogen-geffe128_7,MSE23-w,0.9679711330242672
ecdf-5,staff-scheduling-instance4,MSE23-w,0.9628139433999848
ecdf-5,max-realizability-power-distribution_12_8,MSE23-w,0.9713194964935429
ecdf-5,abstraction-refinement-polysite-avrora,MSE23-w,0.9998746586847688
ecdf-5,decision-tree-primary-tumor-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2,MSE23-w,0.9804253781158963
ecdf-5,correlation-clustering-Rounded_CorrelationClustering_Vowel_BINARY_N700_D0.200,MSE23-w,0.9879668710048277
ecdf-5,generalized-ising-IS3_5.0.5.0.0.5_softer_periodic,MSE23-w,0.9982376136904841
ecdf-5,decision-tree-primary-tumor-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_2,MSE23-w,0.9508759505436972
ecdf-5,correlation-clustering-Rounded_CorrelationClustering_Protein3_TRANSITIVE_N280,MSE23-w,0.908254524559443
ecdf-5,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_200,MSE23-w,0.0
ecdf-5,setcover-rail507,MSE23-w,0.9515714467256103
ecdf-5,hs-timetabling-BrazilInstance4.xml,MSE23-w,0.0
ecdf-5,staff-scheduling-instance12,MSE23-w,0.9660125913966763
ecdf-5,shiftdesign-limits-10-10_data-1_inst-084_30m.sm-extracted,MSE23-w,0.0
ecdf-5,shiftdesign-limits-10-10_data-2_inst-030_30m.sm-extracted,MSE23-w,0.0
ecdf-5,decision-tree-australian-credit-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5,MSE23-w,0.9901862475200319
ecdf-5,timetabling-comp02,MSE23-w,0.9381314489383186
ecdf-5,decision-tree-anneal-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5,MSE23-w,0.932688523925248
ecdf-5,generalized-ising-IS7_5.0.5.0.0.5_softer_periodic,MSE23-w,0.9993412952440522
ecdf-5,spot5-1403.wcsp.log,MSE23-w,0.9999923789103731
ecdf-5,hs-timetabling-FinlandSecondarySchool.xml,MSE23-w,0.0
ecdf-5,shiftdesign-limits-10-10_data-3_inst-002_30m.sm-extracted,MSE23-w,0.0
